ID,Measured depth (m),TVD (m),D_h,Flow area,Temperature (K)
,2600.5536,-1349.785464,0.050673,0.002016708,346.2436667
,2629.5096,-1321.271424,0.050673,0.002016708,345.2042222
,2658.4656,-1292.806152,0.050673,0.002016708,344.1665556
,2687.4216,-1264.383552,0.050673,0.002016708,343.1304444
,2716.3776,-1236.00972,0.050673,0.002016708,342.0961111
,2745.3336,-1207.690752,0.050673,0.002016708,341.0637778
,2774.2896,-1179.435792,0.050673,0.002016708,340.0337778
,2803.2456,-1151.232648,0.050673,0.002016708,339.0056667
,2832.2016,-1123.072176,0.050673,0.002016708,337.9791111
,2861.1576,-1094.936088,0.050673,0.002016708,336.9534444
,2890.1136,-1066.732944,0.050673,0.002016708,335.9253333
,2919.0696,-1038.471888,0.050673,0.002016708,334.8951111
,2948.0256,-1010.15292,0.050673,0.002016708,333.8627778
,2976.9816,-981.782136,0.050673,0.002016708,332.8285556
,3005.9376,-953.362584,0.050673,0.002016708,331.7925556
,3034.8936,-924.891216,0.050673,0.002016708,330.7546667
,3053.4864,-905.21028,0.050673,0.002016708,330.0372222
,3082.4424,-876.568224,0.050673,0.002016708,328.9931111
,3111.3984,-847.904832,0.050673,0.002016708,327.9482222
,3140.3544,-819.220104,0.050673,0.002016708,326.9025556
,3169.3104,-790.517088,0.050673,0.002016708,325.8562222
,3198.2664,-761.798832,0.050673,0.002016708,324.8093333
,3227.2224,-733.062288,0.050673,0.002016708,323.7617778
,3256.1784,-704.612256,0.050673,0.002016708,322.7246667
,3285.1344,-675.845232,0.050673,0.002016708,321.676
,3314.0904,-647.062968,0.050673,0.002016708,320.6267778
,3343.0464,-618.265464,0.050673,0.002016708,319.577
,3372.0024,-589.455768,0.050673,0.002016708,318.5267778
,3400.9584,-560.630832,0.050673,0.002016708,317.476
,3429.9144,-531.793704,0.050673,0.002016708,316.4247778
,3458.8704,-502.944384,0.050673,0.002016708,315.3731111
,3487.8264,-474.082872,0.050673,0.002016708,314.321
,3516.7824,-445.212216,0.050673,0.002016708,313.2685556
,3545.7384,-416.329368,0.050673,0.002016708,312.2156667
,3574.6944,-387.440424,0.050673,0.002016708,311.1625556
,3603.6504,-358.542336,0.050673,0.002016708,310.1091111
,3632.6064,-329.632056,0.050673,0.002016708,309.0552222
,3661.5624,-300.71568,0.050673,0.002016708,308.0011111
,3690.5184,-271.793208,0.050673,0.002016708,306.9467778
,3719.4744,-242.86464,0.050673,0.002016708,305.8922222
,3748.4304,-213.929976,0.050673,0.002016708,304.8374444
,3777.3864,-184.989216,0.050673,0.002016708,303.7824444
,3806.3424,-156.04236,0.050673,0.002016708,302.7272222
,3835.2984,-127.092456,0.050673,0.002016708,301.6718889
,3843.528,-118.862856,0.050673,0.002016708,301.3718889
,3852.672,-109.721904,0.050673,0.002016708,301.0386667
,3861.816,-100.577904,0.050673,0.002016708,300.7053333
,3870.96,-91.436952,0.050673,0.002016708,300.3721111
,3880.104,-82.292952,0.050673,0.002016708,300.0387778
,3889.248,-73.148952,0.050673,0.002016708,299.7054444
,3898.392,-64.008,0.050673,0.002016708,299.3722222
,3907.536,-54.864,0.050673,0.002016708,299.0388889
,3916.68,-45.72,0.050673,0.002016708,298.7055556
,3925.824,-36.576,0.050673,0.002016708,298.3722222
,3934.968,-27.432,0.050673,0.002016708,298.0388889
,3944.112,-18.288,0.050673,0.002016708,297.7055556
,3953.256,-9.144,0.050673,0.002016708,297.3722222
,3962.4,0,0.050673,0.002016708,297.0388889
