layer,distance,elevation
_571a553a_2d52_49dd_b15b_845a9e671e13,56.5862932207633,218.69140625
_571a553a_2d52_49dd_b15b_845a9e671e13,57.0448518626933,218.69140625
_571a553a_2d52_49dd_b15b_845a9e671e13,57.9335160129274,218.78125
_571a553a_2d52_49dd_b15b_845a9e671e13,58.8221801631615,218.78125
_571a553a_2d52_49dd_b15b_845a9e671e13,59.2807388050915,218.78125
_571a553a_2d52_49dd_b15b_845a9e671e13,60.1694029553256,218.78125
_571a553a_2d52_49dd_b15b_845a9e671e13,61.0580671055597,218.78125
_571a553a_2d52_49dd_b15b_845a9e671e13,61.5166257474897,218.78125
_571a553a_2d52_49dd_b15b_845a9e671e13,62.4052898977238,218.78125
_571a553a_2d52_49dd_b15b_845a9e671e13,63.2939540479579,218.87890625
_571a553a_2d52_49dd_b15b_845a9e671e13,63.752512689888,218.98828125
_571a553a_2d52_49dd_b15b_845a9e671e13,64.641176840122,218.98828125
_571a553a_2d52_49dd_b15b_845a9e671e13,65.5298409903561,218.98828125
_571a553a_2d52_49dd_b15b_845a9e671e13,65.9883996322862,218.98828125
_571a553a_2d52_49dd_b15b_845a9e671e13,66.8770637825203,218.98828125
_571a553a_2d52_49dd_b15b_845a9e671e13,67.7657279327543,218.98828125
_571a553a_2d52_49dd_b15b_845a9e671e13,68.2242865746844,218.98828125
_571a553a_2d52_49dd_b15b_845a9e671e13,69.1129507249185,219.08203125
_571a553a_2d52_49dd_b15b_845a9e671e13,70.0016148751526,219.08203125
_571a553a_2d52_49dd_b15b_845a9e671e13,70.4601735170826,219.08203125
_571a553a_2d52_49dd_b15b_845a9e671e13,71.3488376673167,219.08203125
_571a553a_2d52_49dd_b15b_845a9e671e13,72.2440633795799,219.08203125
_571a553a_2d52_49dd_b15b_845a9e671e13,72.70262202151,219.08203125
_571a553a_2d52_49dd_b15b_845a9e671e13,73.5912861717441,219.1796875
_571a553a_2d52_49dd_b15b_845a9e671e13,74.0498448136741,219.2734375
_571a553a_2d52_49dd_b15b_845a9e671e13,74.9385089639082,219.2734375
_571a553a_2d52_49dd_b15b_845a9e671e13,75.8271731141423,219.2734375
_571a553a_2d52_49dd_b15b_845a9e671e13,76.2857317560723,219.2734375
_571a553a_2d52_49dd_b15b_845a9e671e13,77.1743959063064,219.2734375
_571a553a_2d52_49dd_b15b_845a9e671e13,78.0630600565405,219.2734375
_571a553a_2d52_49dd_b15b_845a9e671e13,78.5216186984705,219.2734375
_571a553a_2d52_49dd_b15b_845a9e671e13,79.4102828487046,219.359375
_571a553a_2d52_49dd_b15b_845a9e671e13,80.2989469989387,219.359375
_571a553a_2d52_49dd_b15b_845a9e671e13,80.7575056408688,219.359375
_571a553a_2d52_49dd_b15b_845a9e671e13,81.6461697911029,219.359375
_571a553a_2d52_49dd_b15b_845a9e671e13,82.5348339413369,219.359375
_571a553a_2d52_49dd_b15b_845a9e671e13,82.993392583267,219.4296875
_571a553a_2d52_49dd_b15b_845a9e671e13,83.8820567335011,219.4296875
_571a553a_2d52_49dd_b15b_845a9e671e13,84.7707208837352,219.49609375
_571a553a_2d52_49dd_b15b_845a9e671e13,85.2292795256652,219.49609375
_571a553a_2d52_49dd_b15b_845a9e671e13,86.1179436758993,219.49609375
_571a553a_2d52_49dd_b15b_845a9e671e13,87.0066078261334,219.49609375
_571a553a_2d52_49dd_b15b_845a9e671e13,87.4651664680634,219.49609375
_571a553a_2d52_49dd_b15b_845a9e671e13,88.3538306182975,219.49609375
_571a553a_2d52_49dd_b15b_845a9e671e13,89.2424947685316,219.49609375
_571a553a_2d52_49dd_b15b_845a9e671e13,89.7010534104617,219.49609375
_571a553a_2d52_49dd_b15b_845a9e671e13,90.5897175606957,219.5390625
_571a553a_2d52_49dd_b15b_845a9e671e13,91.4783817109298,219.5390625
_571a553a_2d52_49dd_b15b_845a9e671e13,91.9369403528599,219.5390625
_571a553a_2d52_49dd_b15b_845a9e671e13,92.825604503094,219.5390625
_571a553a_2d52_49dd_b15b_845a9e671e13,93.714268653328,219.5390625
_571a553a_2d52_49dd_b15b_845a9e671e13,94.1728272952581,219.5859375
_571a553a_2d52_49dd_b15b_845a9e671e13,95.0614914454922,219.60546875
_571a553a_2d52_49dd_b15b_845a9e671e13,95.9501555957262,219.60546875
_571a553a_2d52_49dd_b15b_845a9e671e13,96.4087142376563,219.60546875
_571a553a_2d52_49dd_b15b_845a9e671e13,97.2973783878904,219.60546875
_571a553a_2d52_49dd_b15b_845a9e671e13,98.1860425381245,219.60546875
_571a553a_2d52_49dd_b15b_845a9e671e13,98.6446011800545,219.60546875
_571a553a_2d52_49dd_b15b_845a9e671e13,99.5332653302886,219.60546875
_571a553a_2d52_49dd_b15b_845a9e671e13,100.421929480523,219.609375
_571a553a_2d52_49dd_b15b_845a9e671e13,100.880488122453,219.609375
_571a553a_2d52_49dd_b15b_845a9e671e13,101.769152272687,219.609375
_571a553a_2d52_49dd_b15b_845a9e671e13,102.657816422921,219.609375
_571a553a_2d52_49dd_b15b_845a9e671e13,103.116375064851,219.609375
_571a553a_2d52_49dd_b15b_845a9e671e13,104.005039215085,219.609375
_571a553a_2d52_49dd_b15b_845a9e671e13,104.893703365319,219.609375
_571a553a_2d52_49dd_b15b_845a9e671e13,105.352262007249,219.6640625
_571a553a_2d52_49dd_b15b_845a9e671e13,106.240926157483,219.671875
_571a553a_2d52_49dd_b15b_845a9e671e13,107.129590307717,219.671875
_571a553a_2d52_49dd_b15b_845a9e671e13,107.588148949647,219.671875
_571a553a_2d52_49dd_b15b_845a9e671e13,108.476813099881,219.671875
_571a553a_2d52_49dd_b15b_845a9e671e13,108.935371741812,219.671875
_571a553a_2d52_49dd_b15b_845a9e671e13,109.824035892046,219.671875
_571a553a_2d52_49dd_b15b_845a9e671e13,110.71270004228,219.671875
_571a553a_2d52_49dd_b15b_845a9e671e13,111.17125868421,219.671875
_571a553a_2d52_49dd_b15b_845a9e671e13,112.059922834444,219.68359375
_571a553a_2d52_49dd_b15b_845a9e671e13,112.948586984678,219.68359375
_571a553a_2d52_49dd_b15b_845a9e671e13,113.407145626608,219.68359375
_571a553a_2d52_49dd_b15b_845a9e671e13,114.295809776842,219.68359375
_571a553a_2d52_49dd_b15b_845a9e671e13,115.184473927076,219.68359375
_571a553a_2d52_49dd_b15b_845a9e671e13,115.643032569006,219.76953125
_571a553a_2d52_49dd_b15b_845a9e671e13,116.53169671924,219.76953125
_571a553a_2d52_49dd_b15b_845a9e671e13,117.420360869474,219.78515625
_571a553a_2d52_49dd_b15b_845a9e671e13,117.878919511404,219.78515625
_571a553a_2d52_49dd_b15b_845a9e671e13,118.767583661639,219.78515625
_571a553a_2d52_49dd_b15b_845a9e671e13,119.656247811873,219.78515625
_571a553a_2d52_49dd_b15b_845a9e671e13,120.114806453803,219.78515625
_571a553a_2d52_49dd_b15b_845a9e671e13,121.003470604037,219.78515625
_571a553a_2d52_49dd_b15b_845a9e671e13,121.892134754271,219.8046875
_571a553a_2d52_49dd_b15b_845a9e671e13,122.350693396201,219.8046875
_571a553a_2d52_49dd_b15b_845a9e671e13,123.239357546435,219.8046875
_571a553a_2d52_49dd_b15b_845a9e671e13,124.128021696669,219.8046875
_571a553a_2d52_49dd_b15b_845a9e671e13,124.586580338599,219.8046875
_571a553a_2d52_49dd_b15b_845a9e671e13,125.475244488833,219.8046875
_571a553a_2d52_49dd_b15b_845a9e671e13,126.363908639067,219.8046875
_571a553a_2d52_49dd_b15b_845a9e671e13,126.822467280997,219.90234375
_571a553a_2d52_49dd_b15b_845a9e671e13,127.711131431231,219.91015625
_571a553a_2d52_49dd_b15b_845a9e671e13,128.599795581465,219.91015625
_571a553a_2d52_49dd_b15b_845a9e671e13,129.058354223396,219.91015625
_571a553a_2d52_49dd_b15b_845a9e671e13,129.94701837363,219.91015625
_571a553a_2d52_49dd_b15b_845a9e671e13,130.835682523864,219.91015625
_571a553a_2d52_49dd_b15b_845a9e671e13,131.294241165794,219.91015625
_571a553a_2d52_49dd_b15b_845a9e671e13,132.182905316028,219.91015625
_571a553a_2d52_49dd_b15b_845a9e671e13,133.071569466262,219.91796875
_571a553a_2d52_49dd_b15b_845a9e671e13,133.530128108192,219.91796875
_571a553a_2d52_49dd_b15b_845a9e671e13,134.418792258426,219.91796875
_571a553a_2d52_49dd_b15b_845a9e671e13,135.30745640866,219.91796875
_571a553a_2d52_49dd_b15b_845a9e671e13,135.76601505059,219.99609375
_571a553a_2d52_49dd_b15b_845a9e671e13,136.654679200824,219.99609375
_571a553a_2d52_49dd_b15b_845a9e671e13,137.543343351058,219.99609375
_571a553a_2d52_49dd_b15b_845a9e671e13,138.001901992988,219.99609375
_571a553a_2d52_49dd_b15b_845a9e671e13,138.890566143222,219.99609375
_571a553a_2d52_49dd_b15b_845a9e671e13,139.779230293457,219.99609375
_571a553a_2d52_49dd_b15b_845a9e671e13,140.237788935387,219.99609375
_571a553a_2d52_49dd_b15b_845a9e671e13,141.126453085621,219.99609375
_571a553a_2d52_49dd_b15b_845a9e671e13,142.015117235855,219.99609375
_571a553a_2d52_49dd_b15b_845a9e671e13,142.473675877785,219.99609375
_571a553a_2d52_49dd_b15b_845a9e671e13,143.362340028019,219.9921875
_571a553a_2d52_49dd_b15b_845a9e671e13,143.820898669949,219.9921875
_571a553a_2d52_49dd_b15b_845a9e671e13,144.716124383867,219.9921875
